"","uID","variable","factor",".id","source","rise1.3","rise2.3","sex","Source.Global","Source.Primary","Source.Secondary","Country","Location","Language","Weird","Execution","SubjectPool","Setting","Tablet","Pencil","StudyOrderN","IDiffOrderN","study.order","analysis.type","subset","case.include"
"1600",5887,3,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",3,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Zhong|Ross.Slate2|Risen|Savani|Gray|Hauser|Tversky.Gati|Geissner|Hsee|Shafir|Zaval|Tversky|Norenzayan|Schwarz|Knobe","ID: Cognitive reflection|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Mood",3,"Global","all",TRUE
"1601",5888,4,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",4,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Tversky.Gati|Knobe|Schwarz|Savani|Shafir|Norenzayan|Gray|Hauser|Risen|Geissner|Hsee|Zhong|Tversky|Zaval|Ross.Slate2","ID: Cognitive reflection|ID: Mood|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Subjective wellbeing",9,"Global","all",TRUE
"1602",5891,7,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",7,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Tversky|Shafir|Gray|Zaval|Savani|Hauser|Tversky.Gati|Geissner|Knobe|Norenzayan|Zhong|Ross.Slate2|Hsee|Risen|Schwarz","ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Mood|ID: Subjective wellbeing|ID: Global self-esteem SISE",14,"Global","all",TRUE
"1603",5892,6,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",6,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Hauser|Zaval|Knobe|Zhong|Risen|Tversky|Gray|Hsee|Shafir|Ross.Slate2|Schwarz|Norenzayan|Savani|Tversky.Gati|Geissner","ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Mood|ID: Global self-esteem SISE|ID: Cognitive reflection",5,"Global","all",TRUE
"1604",5896,2,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",2,NA,1,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Gray|Tversky|Hauser|Zaval|Ross.Slate2|Tversky.Gati|Zhong|Savani|Schwarz|Knobe|Shafir|Geissner|Risen|Hsee|Norenzayan","ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Mood|ID: TIPI for Big-Five",13,"Global","all",TRUE
"1605",5897,4,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",4,NA,1,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Shafir|Hauser|Knobe|Tversky.Gati|Risen|Geissner|Zaval|Norenzayan|Schwarz|Hsee|Savani|Zhong|Ross.Slate2|Tversky|Gray","ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Mood|ID: Cognitive reflection|ID: Global self-esteem SISE",5,"Global","all",TRUE
"1617",5915,2,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",2,NA,1,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Hsee|Risen|Hauser|Tversky.Gati|Shafir|Tversky|Schwarz|Gray|Zaval|Knobe|Zhong|Geissner|Savani|Norenzayan|Ross.Slate2","ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Mood|ID: Cognitive reflection|ID: TIPI for Big-Five",2,"Global","all",TRUE
"1618",5918,1,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",1,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Ross.Slate2|Schwarz|Zaval|Geissner|Risen|Knobe|Gray|Hsee|Norenzayan|Savani|Shafir|Hauser|Tversky.Gati|Zhong|Tversky","ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Mood|ID: TIPI for Big-Five",5,"Global","all",TRUE
"1642",5984,9,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",9,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Tversky|Geissner|Zhong|Knobe|Schwarz|Savani|Ross.Slate2|Norenzayan|Hauser|Zaval|Hsee|Risen|Tversky.Gati|Shafir|Gray","ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Mood|ID: Subjective wellbeing",12,"Global","all",TRUE
"1643",5985,7,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",7,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Savani|Schwarz|Zhong|Risen|Tversky|Zaval|Gray|Norenzayan|Hauser|Shafir|Tversky.Gati|Geissner|Knobe|Ross.Slate2|Hsee","ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Mood|ID: Cognitive reflection|ID: Global self-esteem SISE",4,"Global","all",TRUE
"1644",5986,4,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",4,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Hsee|Tversky|Schwarz|Knobe|Risen|Ross.Slate2|Geissner|Shafir|Zhong|Gray|Hauser|Norenzayan|Tversky.Gati|Savani|Zaval","ID: Global self-esteem SISE|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Mood|ID: Subjective wellbeing",5,"Global","all",TRUE
"1667",6045,2,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",2,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Norenzayan|Knobe|Shafir|Hsee|Hauser|Schwarz|Geissner|Savani|Risen|Gray|Zaval|Tversky.Gati|Tversky|Zhong|Ross.Slate2","ID: Mood|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Cognitive reflection|ID: TIPI for Big-Five",9,"Global","all",TRUE
"1668",6046,2,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",2,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Geissner|Knobe|Tversky|Schwarz|Savani|Hauser|Hsee|Zhong|Norenzayan|Gray|Risen|Zaval|Shafir|Tversky.Gati|Ross.Slate2","ID: Mood|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Subjective wellbeing",11,"Global","all",TRUE
"1669",6047,7,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",7,NA,1,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Tversky|Schwarz|Gray|Zaval|Norenzayan|Hsee|Zhong|Tversky.Gati|Knobe|Hauser|Savani|Geissner|Ross.Slate2|Shafir|Risen","ID: Mood|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: TIPI for Big-Five",15,"Global","all",TRUE
"1670",6050,8,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",8,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Hsee|Zhong|Savani|Ross.Slate2|Geissner|Hauser|Tversky.Gati|Norenzayan|Gray|Zaval|Schwarz|Risen|Shafir|Knobe|Tversky","ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Mood|ID: Global self-esteem SISE|ID: Cognitive reflection",12,"Global","all",TRUE
"1671",6051,6,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",6,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Ross.Slate2|Hauser|Schwarz|Knobe|Zaval|Tversky|Norenzayan|Zhong|Shafir|Tversky.Gati|Savani|Geissner|Hsee|Risen|Gray","ID: Mood|ID: Cognitive reflection|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: TIPI for Big-Five",14,"Global","all",TRUE
"1747",6233,8,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",8,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Hauser|Knobe|Gray|Savani|Norenzayan|Hsee|Geissner|Tversky|Zaval|Ross.Slate2|Risen|Schwarz|Shafir|Zhong|Tversky.Gati","ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Mood|ID: Subjective wellbeing|ID: TIPI for Big-Five",11,"Global","all",TRUE
"1748",6242,4,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",4,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Hauser|Hsee|Zhong|Gray|Knobe|Ross.Slate2|Norenzayan|Savani|Zaval|Tversky.Gati|Risen|Shafir|Schwarz|Geissner|Tversky","ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Mood|ID: Subjective wellbeing",11,"Global","all",TRUE
"1749",6251,9,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",9,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Zaval|Knobe|Savani|Shafir|Norenzayan|Hsee|Schwarz|Zhong|Hauser|Tversky|Gray|Geissner|Ross.Slate2|Risen|Tversky.Gati","ID: Subjective wellbeing|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Mood",14,"Global","all",TRUE
"1750",6252,6,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",6,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Shafir|Norenzayan|Tversky|Zhong|Hsee|Hauser|Zaval|Ross.Slate2|Schwarz|Gray|Savani|Knobe|Risen|Tversky.Gati|Geissner","ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Mood|ID: Global self-esteem SISE",13,"Global","all",TRUE
"1751",6253,5,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",5,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Schwarz|Risen|Savani|Ross.Slate2|Gray|Zaval|Zhong|Tversky|Knobe|Geissner|Shafir|Hauser|Norenzayan|Tversky.Gati|Hsee","ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Mood",2,"Global","all",TRUE
"1752",6255,5,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",5,NA,1,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Schwarz|Knobe|Hauser|Shafir|Norenzayan|Tversky.Gati|Zhong|Savani|Geissner|Tversky|Zaval|Gray|Ross.Slate2|Risen|Hsee","ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Mood|ID: Subjective wellbeing|ID: Global self-esteem SISE",14,"Global","all",TRUE
"1762",6286,8,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",8,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Ross.Slate2|Knobe|Zhong|Zaval|Gray|Shafir|Geissner|Savani|Schwarz|Tversky.Gati|Norenzayan|Tversky|Risen|Hsee|Hauser","ID: Mood|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Subjective wellbeing",13,"Global","all",TRUE
"1793",6340,6,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",6,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Hauser|Savani|Schwarz|Ross.Slate2|Gray|Shafir|Zhong|Hsee|Zaval|Tversky.Gati|Tversky|Norenzayan|Geissner|Risen|Knobe","ID: Mood|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Cognitive reflection",14,"Global","all",TRUE
"1794",6341,3,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",3,NA,1,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Zhong|Gray|Tversky.Gati|Shafir|Risen|Geissner|Schwarz|Tversky|Ross.Slate2|Hsee|Savani|Norenzayan|Hauser|Knobe|Zaval","ID: TIPI for Big-Five|ID: Mood|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Cognitive reflection",5,"Global","all",TRUE
"1795",6342,6,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",6,NA,1,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Gray|Risen|Shafir|Savani|Zaval|Geissner|Hsee|Zhong|Hauser|Tversky|Tversky.Gati|Ross.Slate2|Norenzayan|Knobe|Schwarz","ID: Mood|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Subjective wellbeing|ID: Global self-esteem SISE",2,"Global","all",TRUE
"1796",6343,2,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",2,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Norenzayan|Gray|Tversky.Gati|Shafir|Ross.Slate2|Hsee|Geissner|Zaval|Savani|Knobe|Hauser|Schwarz|Zhong|Tversky|Risen","ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Mood|ID: TIPI for Big-Five",15,"Global","all",TRUE
"1797",6345,5,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",5,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Geissner|Zaval|Schwarz|Knobe|Tversky.Gati|Hauser|Gray|Hsee|Savani|Tversky|Shafir|Risen|Ross.Slate2|Norenzayan|Zhong","ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Mood",12,"Global","all",TRUE
"1799",6350,6,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",6,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Risen|Zhong|Gray|Hauser|Tversky.Gati|Shafir|Tversky|Zaval|Savani|Schwarz|Norenzayan|Ross.Slate2|Geissner|Knobe|Hsee","ID: Mood|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Subjective wellbeing",1,"Global","all",TRUE
"1800",6351,5,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",5,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Norenzayan|Risen|Ross.Slate2|Gray|Schwarz|Hauser|Zaval|Tversky.Gati|Geissner|Tversky|Zhong|Hsee|Knobe|Savani|Shafir","ID: Subjective wellbeing|ID: Cognitive reflection|ID: Mood|ID: Global self-esteem SISE|ID: TIPI for Big-Five",2,"Global","all",TRUE
"1801",6354,5,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",5,NA,1,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Norenzayan|Zhong|Hsee|Shafir|Zaval|Ross.Slate2|Risen|Hauser|Tversky.Gati|Tversky|Geissner|Schwarz|Gray|Knobe|Savani","ID: Mood|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Cognitive reflection",7,"Global","all",TRUE
"1814",6381,5,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",5,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Risen|Shafir|Geissner|Tversky|Zhong|Schwarz|Knobe|Gray|Norenzayan|Tversky.Gati|Zaval|Savani|Hauser|Ross.Slate2|Hsee","ID: Subjective wellbeing|ID: Mood|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: TIPI for Big-Five",1,"Global","all",TRUE
"1851",6457,9,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",9,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Schwarz|Knobe|Norenzayan|Ross.Slate2|Hauser|Zhong|Tversky|Gray|Shafir|Zaval|Geissner|Tversky.Gati|Hsee|Savani|Risen","ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: TIPI for Big-Five",15,"Global","all",TRUE
"1852",6458,5,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",5,NA,1,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Zhong|Geissner|Schwarz|Shafir|Zaval|Hsee|Hauser|Ross.Slate2|Savani|Tversky|Risen|Tversky.Gati|Gray|Norenzayan|Knobe","ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Mood|ID: Cognitive reflection",11,"Global","all",TRUE
"1853",6459,5,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",5,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Ross.Slate2|Gray|Zaval|Geissner|Norenzayan|Savani|Zhong|Hauser|Tversky.Gati|Schwarz|Hsee|Knobe|Risen|Tversky|Shafir","ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Mood|ID: TIPI for Big-Five",13,"Global","all",TRUE
"1854",6462,2,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",2,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Risen|Geissner|Gray|Zaval|Savani|Knobe|Hsee|Ross.Slate2|Schwarz|Zhong|Shafir|Tversky|Hauser|Tversky.Gati|Norenzayan","ID: Mood|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Global self-esteem SISE",1,"Global","all",TRUE
"1855",6464,4,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",4,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Savani|Tversky|Geissner|Knobe|Tversky.Gati|Norenzayan|Hauser|Hsee|Shafir|Gray|Ross.Slate2|Schwarz|Zaval|Risen|Zhong","ID: Subjective wellbeing|ID: Mood|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Global self-esteem SISE",14,"Global","all",TRUE
"1856",6466,4,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",4,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Zaval|Tversky|Gray|Schwarz|Savani|Shafir|Ross.Slate2|Knobe|Risen|Tversky.Gati|Hauser|Zhong|Geissner|Hsee|Norenzayan","ID: Mood|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Cognitive reflection",9,"Global","all",TRUE
"1882",6520,6,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",6,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Schwarz|Zaval|Hauser|Norenzayan|Ross.Slate2|Tversky.Gati|Gray|Zhong|Tversky|Knobe|Savani|Shafir|Hsee|Geissner|Risen","ID: Mood|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Cognitive reflection",15,"Global","all",TRUE
"1883",6524,3,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",3,NA,1,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Knobe|Geissner|Savani|Shafir|Tversky.Gati|Ross.Slate2|Hauser|Risen|Norenzayan|Tversky|Gray|Zaval|Hsee|Schwarz|Zhong","ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Mood",8,"Global","all",TRUE
"1884",6525,5,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",5,NA,2,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Tversky|Savani|Risen|Geissner|Hsee|Tversky.Gati|Shafir|Hauser|Knobe|Zhong|Ross.Slate2|Zaval|Gray|Schwarz|Norenzayan","ID: Global self-esteem SISE|ID: Mood|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Subjective wellbeing",3,"Global","all",TRUE
"1885",6526,4,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",4,NA,1,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Knobe|Shafir|Hauser|Tversky|Savani|Ross.Slate2|Tversky.Gati|Zaval|Schwarz|Norenzayan|Risen|Hsee|Zhong|Geissner|Gray","ID: Cognitive reflection|ID: Mood|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Subjective wellbeing",11,"Global","all",TRUE
"1886",6527,4,"Unprepared","ML2_Slate2_USEng_Inlab_DEPLOY_r.csv","westernkentucky",4,NA,1,"westernkentucky","westernkentucky","westernkentucky","USA","Psychological Sciences Department, Western Kentucky University, Bowling Green, KY 42101;","English",1,NA,"Yes","In a lab","Computers","No, the whole study was on the computer (except maybe consent/debriefing)","Zhong|Schwarz|Geissner|Hsee|Knobe|Hauser|Shafir|Norenzayan|Savani|Tversky.Gati|Ross.Slate2|Zaval|Gray|Risen|Tversky","ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Mood|ID: Global self-esteem SISE|ID: Cognitive reflection",14,"Global","all",TRUE
